Unifier ID,Project Name,Description,County,Corridor,Category,Estimated Cost,Unfunded Amount,Status,Readiness,Design Percent,Modes,Year Needed,Fatalities 5yr,Serious Injuries 5yr,High Crash Location,Disadvantaged Community,Rural,Environmental Justice,Tags
UNF-2167,T202216216 SR 92 Guardrail and End Treatment Upgrade — Magnolia,Replace outdated guardrail and end treatments on SR 92 MP 29.4 near Magnolia to current MASH standards.,Kent,SR 92,safety,2780000,2488866,unfunded,row,42,auto,2026,1,9,false,true,false,false,guardrail; safety; roadside; systemic
UNF-2168,T202316253 SR 18 Concrete Pavement Restoration — Bethany Beach,"Slab repair, diamond grinding, and joint resealing on SR 18 MP 6.9 in Sussex County near Bethany Beach.",Sussex,SR 18,pavement,19000000,17042176,unfunded,construction-ready,92,auto,2027,1,12,false,false,false,true,pavement; concrete; preservation
UNF-2169,T202416290 Bethany Beach Complete Streets — I-295 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on I-295 through Bethany Beach town center (Northbound).",Sussex,I-295,complete-streets,6270000,6200151,unfunded,construction-ready,87,auto; pedestrian; bicycle,2026,2,20,true,false,true,true,complete-streets; bike-ped; equity; safety
UNF-2170,T202516327 Milton DART Stop and Access Improvements — SR 92,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 92 in Milton.",Sussex,SR 92,transit,2570000,2120941,unfunded,final-design,72,transit; pedestrian,2027,0,8,false,true,true,false,transit; equity; pedestrian; ada
UNF-2171,T202616364 Fenwick Island Truck Route Geometric Improvements — I-495,Widen turning radii and upgrade shoulders for freight movements on I-495 MP 3.2 near Fenwick Island.,Sussex,I-495,freight,13230000,10538965,unfunded,row,57,freight; auto,2029,1,7,false,false,true,false,freight; geometry; shoulders
UNF-2172,T202716401 SR 1 Intersection Safety Package — Magnolia Group A,"Systemic safety package at SR 1 MP 17.4 serving Magnolia: signal upgrades, left-turn protection, lighting, and pedestrian intervals.",Kent,SR 1,safety,11240000,11064035,partially-funded,row,41,auto; pedestrian,2025,5,20,true,false,true,false,intersection; signal; safety; pedestrian; high-crash
UNF-2173,T202216438 SR 8 Lane Departure Countermeasures — Elsmere,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 8 MP 44.0 near Elsmere.",New Castle,SR 8,safety,9360000,8502423,unfunded,planning,14,auto,2027,6,37,true,false,false,false,lane-departure; rural; high-friction; systemic; safety
UNF-2174,T202316475 I-495 Bridge Preservation — Townsend Group B,"Deck overlay, joint replacement, and scour countermeasures on the I-495 bridge near Townsend (MP 27.2).",New Castle,I-495,bridge,5560000,5178580,unfunded,construction-ready,89,auto; freight,2029,1,7,false,true,false,true,bridge; preservation; state-of-good-repair
UNF-2175,T202416512 US 301 Lane Departure Countermeasures — Millsboro,"Rumble strips, high-friction surface treatment, and curve warning upgrades on US 301 MP 27.6 near Millsboro.",Sussex,US 301,safety,6840000,6046541,unfunded,construction-ready,97,auto,2026,6,36,true,false,true,false,lane-departure; rural; high-friction; systemic; safety
UNF-2176,T202516549 Smyrna DART Stop and Access Improvements — SR 300,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 300 in Smyrna.",Kent,SR 300,transit,4420000,4280933,partially-funded,planning,8,transit; pedestrian,2029,1,14,false,true,true,false,transit; equity; pedestrian; ada
UNF-2177,T202616586 Port Penn Truck Route Geometric Improvements — SR 300,Widen turning radii and upgrade shoulders for freight movements on SR 300 MP 6.0 near Port Penn.,New Castle,SR 300,freight,15700000,12373323,unfunded,row,52,freight; auto,2029,0,3,false,false,false,false,freight; geometry; shoulders
UNF-2178,T202716623 SR 4 Concrete Pavement Restoration — Delmar,"Slab repair, diamond grinding, and joint resealing on SR 4 MP 7.2 in Sussex County near Delmar.",Sussex,SR 4,pavement,8550000,7746614,unfunded,row,46,auto,2027,0,2,false,true,false,false,pavement; concrete; preservation
UNF-2179,T202216660 I-95 Concrete Pavement Restoration — Frederica,"Slab repair, diamond grinding, and joint resealing on I-95 MP 7.1 in Kent County near Frederica.",Kent,I-95,pavement,6770000,5659891,unfunded,construction-ready,98,auto,2026,0,5,false,false,true,false,pavement; concrete; preservation
UNF-2180,T202316697 Ocean View DART Stop and Access Improvements — SR 30,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 30 in Ocean View.",Sussex,SR 30,transit,1180000,956592,partially-funded,preliminary-design,32,transit; pedestrian,2027,0,0,false,true,false,false,transit; equity; pedestrian; ada
UNF-2181,T202416734 SR 26 Bridge Preservation — Fenwick Island FY27,"Deck overlay, joint replacement, and scour countermeasures on the SR 26 bridge near Fenwick Island (MP 2.8).",Sussex,SR 26,bridge,24210000,19421572,partially-funded,row,48,auto; freight,2025,0,4,false,true,true,true,bridge; preservation; state-of-good-repair
UNF-2182,T202516771 Viola Adaptive Signal System — SR 24,"Adaptive signal control, detection, and communications along SR 24 MP 42.7 in Viola.",Kent,SR 24,signals,5190000,4551170,unfunded,preliminary-design,32,auto; transit,2029,1,14,false,false,false,false,signal; operations; congestion; safety
UNF-2183,T202616808 Harrington Adaptive Signal System — SR 141,"Adaptive signal control, detection, and communications along SR 141 MP 2.6 in Harrington.",Kent,SR 141,signals,4700000,3546257,unfunded,construction-ready,94,auto; transit,2027,1,12,false,true,false,true,signal; operations; congestion; safety
UNF-2184,T202716845 I-95 Drainage and Flood Mitigation — Dewey Beach,Stormwater upgrades and roadway raising where I-95 MP 7.3 floods near Dewey Beach.,Sussex,I-95,resilience,6590000,5531950,unfunded,preliminary-design,32,auto,2027,0,1,false,true,true,false,flood; drainage; resilience
UNF-2185,T202216882 St. Georges Complete Streets — SR 404 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on SR 404 through St. Georges town center (Southbound).",New Castle,SR 404,complete-streets,12910000,11876811,unfunded,final-design,61,auto; pedestrian; bicycle,2025,5,22,true,true,true,false,complete-streets; bike-ped; equity; safety
UNF-2186,T202316919 SR 71 Pavement Rehab — Seaford Group B,Mill and overlay of deteriorated SR 71 lanes through Seaford (MP 14.7) to restore ride quality. Limited safety or equity components.,Sussex,SR 71,pavement,20760000,20700770,unfunded,final-design,77,auto,2028,1,17,true,false,true,true,pavement; preservation; state-of-good-repair
UNF-2187,T202416956 Harrington Shared-Use Path — SR 36 Phase 2,Construct a shared-use path parallel to SR 36 MP 34.9 connecting neighborhoods and schools in Harrington.,Kent,SR 36,bike-ped,10860000,9214920,partially-funded,final-design,69,pedestrian; bicycle,2027,2,10,true,false,true,false,bicycle; pedestrian; trail; vru
UNF-2188,T202516993 Delaware City Sidewalk and Crossing Gap Closure — SR 72,"Fill sidewalk gaps and add high-visibility crossings along SR 72 MP 35.1 in Delaware City, with ADA curb ramps.",New Castle,SR 72,bike-ped,1950000,1796193,unfunded,row,36,pedestrian; bicycle,2028,2,21,true,true,false,true,pedestrian; ada; crossing; vru
UNF-2189,T202617030 SR 18 Drainage and Flood Mitigation — Clayton,Stormwater upgrades and roadway raising where SR 18 MP 39.2 floods near Clayton.,Kent,SR 18,resilience,22170000,17782254,unfunded,planning,11,auto,2025,0,13,false,false,true,false,flood; drainage; resilience
UNF-2190,T202717067 Magnolia DART Stop and Access Improvements — US 301,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on US 301 in Magnolia.",Kent,US 301,transit,1220000,918818,partially-funded,row,39,transit; pedestrian,2028,0,6,false,true,true,false,transit; equity; pedestrian; ada
UNF-2191,T202217104 Bowers Truck Route Geometric Improvements — SR 42,Widen turning radii and upgrade shoulders for freight movements on SR 42 MP 11.0 near Bowers.,Kent,SR 42,freight,16510000,15188054,unfunded,planning,14,freight; auto,2027,0,12,false,true,true,false,freight; geometry; shoulders
UNF-2192,T202317141 SR 24 Pavement Rehab — Cheswold Phase 2,Mill and overlay of deteriorated SR 24 lanes through Cheswold (MP 37.4) to restore ride quality. Limited safety or equity components.,Kent,SR 24,pavement,20090000,19851443,unfunded,preliminary-design,27,auto,2025,0,13,false,false,false,false,pavement; preservation; state-of-good-repair
UNF-2193,T202417178 Dewey Beach Adaptive Signal System — SR 4,"Adaptive signal control, detection, and communications along SR 4 MP 29.3 in Dewey Beach.",Sussex,SR 4,signals,4970000,3948033,partially-funded,row,43,auto; transit,2027,0,4,false,true,false,false,signal; operations; congestion; safety
UNF-2194,T202517215 Camden Sidewalk and Crossing Gap Closure — SR 896,"Fill sidewalk gaps and add high-visibility crossings along SR 896 MP 34.1 in Camden, with ADA curb ramps.",Kent,SR 896,bike-ped,2790000,2385555,unfunded,row,36,pedestrian; bicycle,2028,0,13,false,false,true,false,pedestrian; ada; crossing; vru
UNF-2195,T202617252 SR 9 Bridge Preservation — Edgemoor Group B,"Deck overlay, joint replacement, and scour countermeasures on the SR 9 bridge near Edgemoor (MP 32.2).",New Castle,SR 9,bridge,20370000,19859450,unfunded,preliminary-design,23,auto; freight,2025,1,10,false,true,false,false,bridge; preservation; state-of-good-repair
UNF-2196,T202717289 Lewes DART Stop and Access Improvements — SR 8,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 8 in Lewes.",Sussex,SR 8,transit,1740000,1324584,partially-funded,preliminary-design,25,transit; pedestrian,2029,1,8,false,false,true,false,transit; equity; pedestrian; ada
UNF-2197,T202217326 Laurel Complete Streets — SR 299 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on SR 299 through Laurel town center (Phase 1).",Sussex,SR 299,complete-streets,12860000,9783321,unfunded,final-design,60,auto; pedestrian; bicycle,2025,4,22,true,false,false,false,complete-streets; bike-ped; equity; safety
UNF-2198,T202317363 Dewey Beach Community Charging Hub — SR 36,Public DC fast charging adjacent to SR 36 serving Dewey Beach residents without home charging.,Sussex,SR 36,ev-charging,3150000,2711095,unfunded,construction-ready,90,auto,2029,1,17,true,false,true,true,ev; equity; community; charging
UNF-2199,T202417400 Christiana Truck Route Geometric Improvements — SR 26,Widen turning radii and upgrade shoulders for freight movements on SR 26 MP 22.6 near Christiana.,New Castle,SR 26,freight,8390000,6446430,unfunded,construction-ready,94,freight; auto,2025,0,4,false,true,false,false,freight; geometry; shoulders
UNF-2200,T202517437 SR 896 Pavement Rehab — Cheswold Group A,Mill and overlay of deteriorated SR 896 lanes through Cheswold (MP 5.1) to restore ride quality. Limited safety or equity components.,Kent,SR 896,pavement,16340000,13944733,unfunded,row,49,auto,2028,1,5,false,true,true,false,pavement; preservation; state-of-good-repair
UNF-2201,T202617474 DART Bus Maintenance Facility Rehab — Clayton,"Rehabilitate the DART bus maintenance garage in Clayton, including lifts, bus wash, and charging/fueling for the transit fleet.",Kent,SR 9,transit,10260000,7815400,unfunded,construction-ready,85,transit,2026,0,1,false,true,true,true,transit; bus-fleet; garage; facility; low-no
UNF-2202,T202717511 US 301 Drainage and Flood Mitigation — Bethany Beach,Stormwater upgrades and roadway raising where US 301 MP 39.5 floods near Bethany Beach.,Sussex,US 301,resilience,27310000,24014672,unfunded,planning,7,auto,2028,1,14,false,false,true,false,flood; drainage; resilience
UNF-2203,T202217548 Elsmere Shared-Use Path — SR 10 Southbound,Construct a shared-use path parallel to SR 10 MP 7.9 connecting neighborhoods and schools in Elsmere.,New Castle,SR 10,bike-ped,7500000,6918121,unfunded,final-design,67,pedestrian; bicycle,2025,1,12,false,false,true,false,bicycle; pedestrian; trail; vru
UNF-2204,T202317585 SR 42 Pavement Rehab — Wyoming Group B,Mill and overlay of deteriorated SR 42 lanes through Wyoming (MP 1.3) to restore ride quality. Limited safety or equity components.,Kent,SR 42,pavement,6800000,5483510,partially-funded,construction-ready,91,auto,2026,1,4,false,true,true,false,pavement; preservation; state-of-good-repair
UNF-2205,T202417622 Ocean View Community Charging Hub — I-295,Public DC fast charging adjacent to I-295 serving Ocean View residents without home charging.,Sussex,I-295,ev-charging,2820000,2231757,unfunded,construction-ready,90,auto,2027,0,9,false,false,true,true,ev; equity; community; charging
UNF-2206,T202517659 Bethany Beach Local Road Safety Plan,Data-driven local road safety plan for Bethany Beach identifying a high-injury network and proven countermeasures.,Sussex,SR 52,planning,1090000,870475,unfunded,row,52,auto; pedestrian,2027,1,7,false,true,true,false,safety-plan; data-driven; planning
UNF-2207,T202617696 I-95 Pavement Rehab — Bowers FY27,Mill and overlay of deteriorated I-95 lanes through Bowers (MP 39.9) to restore ride quality. Limited safety or equity components.,Kent,I-95,pavement,9570000,7328815,unfunded,row,35,auto,2027,0,11,false,false,true,false,pavement; preservation; state-of-good-repair
UNF-2208,T202717733 SR 14 Drainage and Flood Mitigation — Houston,Stormwater upgrades and roadway raising where SR 14 MP 38.1 floods near Houston.,Kent,SR 14,resilience,25270000,19569465,partially-funded,preliminary-design,27,auto,2025,1,8,false,false,true,false,flood; drainage; resilience
UNF-2209,T202217770 SR 202 Bridge Preservation — Camden Phase 2,"Deck overlay, joint replacement, and scour countermeasures on the SR 202 bridge near Camden (MP 20.3).",Kent,SR 202,bridge,12410000,10882254,unfunded,preliminary-design,27,auto; freight,2025,1,4,false,true,true,true,bridge; preservation; state-of-good-repair
UNF-2210,T202317807 SR 4 Pavement Rehab — Slaughter Beach Phase 2,Mill and overlay of deteriorated SR 4 lanes through Slaughter Beach (MP 9.5) to restore ride quality. Limited safety or equity components.,Sussex,SR 4,pavement,7360000,6790414,partially-funded,row,36,auto,2025,1,10,false,true,false,true,pavement; preservation; state-of-good-repair
UNF-2211,T202417844 SR 1 Pavement Rehab — Woodside FY26,Mill and overlay of deteriorated SR 1 lanes through Woodside (MP 31.3) to restore ride quality. Limited safety or equity components.,Kent,SR 1,pavement,11980000,11723593,unfunded,construction-ready,99,auto,2027,0,6,false,false,false,false,pavement; preservation; state-of-good-repair
UNF-2212,T202517881 New Castle County Freight and Multimodal Plan Update,"Update the New Castle County freight and multimodal plan, including bottleneck screening on DE 1 and equity analysis.",New Castle,DE 1,planning,1500000,1387284,unfunded,planning,7,auto; freight; transit,2027,0,11,false,false,false,false,planning; freight; multimodal; data-driven
UNF-2213,T202617918 SR 202 Drainage and Flood Mitigation — Frankford,Stormwater upgrades and roadway raising where SR 202 MP 7.5 floods near Frankford.,Sussex,SR 202,resilience,26410000,24273258,unfunded,construction-ready,98,auto,2025,1,16,true,false,true,false,flood; drainage; resilience
UNF-2214,T202717955 Kirkwood Sidewalk and Crossing Gap Closure — SR 14,"Fill sidewalk gaps and add high-visibility crossings along SR 14 MP 28.8 in Kirkwood, with ADA curb ramps.",New Castle,SR 14,bike-ped,2210000,1742201,partially-funded,planning,16,pedestrian; bicycle,2029,2,10,true,true,true,false,pedestrian; ada; crossing; vru
UNF-2215,T202217992 Georgetown Truck Route Geometric Improvements — SR 82,Widen turning radii and upgrade shoulders for freight movements on SR 82 MP 28.6 near Georgetown.,Sussex,SR 82,freight,12000000,10035360,partially-funded,row,50,freight; auto,2028,0,7,false,true,true,false,freight; geometry; shoulders
UNF-2216,T202318029 I-295 Intersection Safety Package — Arden Southbound,"Systemic safety package at I-295 MP 22.7 serving Arden: signal upgrades, left-turn protection, lighting, and pedestrian intervals.",New Castle,I-295,safety,2620000,2262008,partially-funded,final-design,80,auto; pedestrian,2028,2,18,true,false,true,false,intersection; signal; safety; pedestrian; high-crash
UNF-2217,T202418066 DART Bus Maintenance Facility Rehab — Hartly,"Rehabilitate the DART bus maintenance garage in Hartly, including lifts, bus wash, and charging/fueling for the transit fleet.",Kent,SR 82,transit,31330000,26559783,partially-funded,preliminary-design,23,transit,2025,1,12,false,true,true,false,transit; bus-fleet; garage; facility; low-no
UNF-2218,T202518103 SR 896 Pavement Rehab — Bowers Northbound,Mill and overlay of deteriorated SR 896 lanes through Bowers (MP 5.4) to restore ride quality. Limited safety or equity components.,Kent,SR 896,pavement,13820000,13487235,unfunded,row,56,auto,2027,1,15,true,true,false,true,pavement; preservation; state-of-good-repair
UNF-2219,T202618140 SR 10 Pavement Rehab — Henlopen Acres Group A,Mill and overlay of deteriorated SR 10 lanes through Henlopen Acres (MP 13.4) to restore ride quality. Limited safety or equity components.,Sussex,SR 10,pavement,4290000,3540782,unfunded,final-design,60,auto,2028,0,11,false,true,true,false,pavement; preservation; state-of-good-repair
UNF-2220,T202718177 DART Bus Fleet Replacement — Kirkwood Division,"Replace diesel buses with low- and no-emission transit buses and related equipment at the DART Kirkwood division, including depot charging.",New Castle,SR 2,transit,35580000,29104383,unfunded,preliminary-design,22,transit,2029,1,9,false,false,false,false,transit; bus-fleet; low-no; zero-emission; garage
UNF-2221,T202218214 Claymont Truck Route Geometric Improvements — SR 24,Widen turning radii and upgrade shoulders for freight movements on SR 24 MP 4.2 near Claymont.,New Castle,SR 24,freight,18430000,18128074,unfunded,row,44,freight; auto,2028,0,6,false,true,false,false,freight; geometry; shoulders
UNF-2222,T202318251 I-495 Bridge Preservation — Dover Phase 2,"Deck overlay, joint replacement, and scour countermeasures on the I-495 bridge near Dover (MP 37.8).",Kent,I-495,bridge,17850000,16475372,unfunded,final-design,73,auto; freight,2026,0,9,false,true,true,false,bridge; preservation; state-of-good-repair
UNF-2223,T202418288 Millville Adaptive Signal System — SR 14,"Adaptive signal control, detection, and communications along SR 14 MP 42.9 in Millville.",Sussex,SR 14,signals,4100000,3763437,unfunded,planning,15,auto; transit,2026,1,9,false,false,true,true,signal; operations; congestion; safety
UNF-2224,T202518325 Delaware City Sidewalk and Crossing Gap Closure — SR 30,"Fill sidewalk gaps and add high-visibility crossings along SR 30 MP 10.4 in Delaware City, with ADA curb ramps.",New Castle,SR 30,bike-ped,8380000,8145062,unfunded,row,36,pedestrian; bicycle,2026,4,18,true,true,false,false,pedestrian; ada; crossing; vru
UNF-2225,T202618362 SR 273 ITS Camera and Fiber — Rising Sun Northbound,"CCTV, fiber interconnect, and TMC integration on SR 273 MP 25.6 serving Rising Sun and Kent County operations.",Kent,SR 273,signals,2850000,2523021,unfunded,final-design,61,auto,2029,1,13,false,true,false,true,its; operations; congestion; signal
UNF-2226,T202718399 SR 71 Drainage and Flood Mitigation — Smyrna,Stormwater upgrades and roadway raising where SR 71 MP 36.8 floods near Smyrna.,Kent,SR 71,resilience,6390000,5435589,partially-funded,construction-ready,90,auto,2027,0,8,false,true,true,false,flood; drainage; resilience
UNF-2227,T202218436 SR 92 Bridge Preservation — Lincoln Phase 2,"Deck overlay, joint replacement, and scour countermeasures on the SR 92 bridge near Lincoln (MP 10.5).",Sussex,SR 92,bridge,23790000,19655346,unfunded,row,52,auto; freight,2025,0,5,false,true,true,false,bridge; preservation; state-of-good-repair
UNF-2228,T202318473 SR 16 Drainage and Flood Mitigation — Wyoming,Stormwater upgrades and roadway raising where SR 16 MP 22.2 floods near Wyoming.,Kent,SR 16,resilience,27370000,23273824,unfunded,preliminary-design,29,auto,2029,1,14,false,false,false,false,flood; drainage; resilience
UNF-2229,T202418510 Red Lion Slope Stabilization — US 113 MP 43.5,"Embankment repair, drainage, and slope stabilization on US 113 near Red Lion after repeated washouts.",New Castle,US 113,resilience,6050000,5227109,unfunded,row,40,auto,2027,0,0,false,true,true,false,slope; drainage; resilience; geotech
UNF-2230,T202518547 Laurel Truck Route Geometric Improvements — SR 896,Widen turning radii and upgrade shoulders for freight movements on SR 896 MP 20.0 near Laurel.,Sussex,SR 896,freight,17790000,13731598,unfunded,row,44,freight; auto,2025,1,15,true,true,false,false,freight; geometry; shoulders
UNF-2231,T202618584 US 40 Bridge Culvert Replacement — Elsmere,Replace a deteriorated culvert on US 40 MP 3.0 near Elsmere to restore hydraulic capacity and legal loads.,New Castle,US 40,bridge,5780000,4715745,unfunded,final-design,66,auto; freight,2026,1,6,false,true,false,true,bridge; culvert; scour; state-of-good-repair
UNF-2232,T202718621 SR 273 Lane Departure Countermeasures — Port Penn,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 273 MP 12.8 near Port Penn.",New Castle,SR 273,safety,3830000,3412752,unfunded,planning,10,auto,2029,0,1,false,false,false,false,lane-departure; rural; high-friction; systemic; safety
UNF-2233,T202218658 I-295 Freight Bottleneck Relief — Kirkwood,"Intersection capacity, turning-radius, and signal timing improvements for industrial freight on I-295 MP 17.9 in Kirkwood.",New Castle,I-295,freight,11400000,10364021,unfunded,final-design,81,freight; auto,2029,0,3,false,true,false,true,freight; bottleneck; signal; reliability
UNF-2234,T202318695 SR 4 Pavement Rehab — Christiana Group B,Mill and overlay of deteriorated SR 4 lanes through Christiana (MP 20.7) to restore ride quality. Limited safety or equity components.,New Castle,SR 4,pavement,14900000,13127988,unfunded,planning,13,auto,2026,1,14,false,false,false,false,pavement; preservation; state-of-good-repair
UNF-2235,T202418732 Long Neck Shared-Use Path — SR 18 Group A,Construct a shared-use path parallel to SR 18 MP 40.7 connecting neighborhoods and schools in Long Neck.,Sussex,SR 18,bike-ped,6960000,6122393,unfunded,final-design,83,pedestrian; bicycle,2029,2,13,true,false,true,false,bicycle; pedestrian; trail; vru
UNF-2236,T202518769 SR 20 Pavement Rehab — Wilmington Group B,Mill and overlay of deteriorated SR 20 lanes through Wilmington (MP 35.5) to restore ride quality. Limited safety or equity components.,New Castle,SR 20,pavement,19810000,15349906,partially-funded,construction-ready,85,auto,2028,1,10,false,true,true,false,pavement; preservation; state-of-good-repair
UNF-2237,T202618806 SR 2 Freight Bottleneck Relief — Bethany Beach,"Intersection capacity, turning-radius, and signal timing improvements for industrial freight on SR 2 MP 33.0 in Bethany Beach.",Sussex,SR 2,freight,20310000,19835776,unfunded,planning,13,freight; auto,2025,1,4,false,true,true,false,freight; bottleneck; signal; reliability
UNF-2238,T202718843 US 13 Bridge Preservation — Camden-Wyoming FY26,"Deck overlay, joint replacement, and scour countermeasures on the US 13 bridge near Camden-Wyoming (MP 10.1).",Kent,US 13,bridge,9150000,6987511,unfunded,row,37,auto; freight,2025,0,8,false,true,true,false,bridge; preservation; state-of-good-repair
UNF-2239,T202218880 SR 72 Intersection Safety Package — Little Creek Group A,"Systemic safety package at SR 72 MP 44.7 serving Little Creek: signal upgrades, left-turn protection, lighting, and pedestrian intervals.",Kent,SR 72,safety,14180000,14055074,unfunded,planning,7,auto; pedestrian,2026,1,15,true,true,true,false,intersection; signal; safety; pedestrian; high-crash
UNF-2240,T202318917 SR 26 Lane Departure Countermeasures — Millsboro,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 26 MP 42.2 near Millsboro.",Sussex,SR 26,safety,4420000,4197264,unfunded,construction-ready,96,auto,2026,3,24,true,false,false,false,lane-departure; rural; high-friction; systemic; safety
UNF-2241,T202418954 SR 299 ITS Camera and Fiber — Milford FY26,"CCTV, fiber interconnect, and TMC integration on SR 299 MP 8.2 serving Milford and Sussex County operations.",Sussex,SR 299,signals,2170000,2084641,unfunded,row,46,auto,2025,0,10,false,false,true,true,its; operations; congestion; signal
UNF-2242,T202518991 Edgemoor DART Stop and Access Improvements — SR 273,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 273 in Edgemoor.",New Castle,SR 273,transit,5830000,5470804,unfunded,row,53,transit; pedestrian,2025,1,5,false,true,false,false,transit; equity; pedestrian; ada
UNF-2243,T202619028 Dewey Beach School Zone and Speed Management,"School-zone flashers, gateway treatments, and speed management on local streets feeding SR 82 in Dewey Beach.",Sussex,SR 82,safety,1530000,1409608,unfunded,preliminary-design,23,auto; pedestrian,2028,0,10,false,false,true,false,safety; school; speed-management; lighting
UNF-2244,T202719065 Edgemoor Complete Streets — SR 26 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on SR 26 through Edgemoor town center (Phase 1).",New Castle,SR 26,complete-streets,15280000,15171504,unfunded,construction-ready,92,auto; pedestrian; bicycle,2028,0,9,false,false,false,false,complete-streets; bike-ped; equity; safety
UNF-2245,T202219102 DART Bus Fleet Replacement — Elsmere Division,"Replace diesel buses with low- and no-emission transit buses and related equipment at the DART Elsmere division, including depot charging.",New Castle,I-95,transit,16350000,15190269,unfunded,row,48,transit,2029,0,4,false,true,true,false,transit; bus-fleet; low-no; zero-emission; garage
UNF-2246,T202319139 SR 16 Lane Departure Countermeasures — Ocean View,"Rumble strips, high-friction surface treatment, and curve warning upgrades on SR 16 MP 1.1 near Ocean View.",Sussex,SR 16,safety,7150000,6511570,partially-funded,construction-ready,89,auto,2028,4,21,true,true,true,false,lane-departure; rural; high-friction; systemic; safety
UNF-2247,T202419176 Clayton Sidewalk and Crossing Gap Closure — SR 14,"Fill sidewalk gaps and add high-visibility crossings along SR 14 MP 32.9 in Clayton, with ADA curb ramps.",Kent,SR 14,bike-ped,2630000,2040880,unfunded,row,35,pedestrian; bicycle,2026,5,29,true,false,true,false,pedestrian; ada; crossing; vru
UNF-2248,T202519213 US 40 Intersection Safety Package — Glasgow Group A,"Systemic safety package at US 40 MP 9.6 serving Glasgow: signal upgrades, left-turn protection, lighting, and pedestrian intervals.",New Castle,US 40,safety,7290000,6178633,unfunded,row,50,auto; pedestrian,2027,2,20,true,true,true,false,intersection; signal; safety; pedestrian; high-crash
UNF-2249,T202619250 I-495 Concrete Pavement Restoration — Milford,"Slab repair, diamond grinding, and joint resealing on I-495 MP 3.7 in Sussex County near Milford.",Sussex,I-495,pavement,16260000,13164885,partially-funded,final-design,84,auto,2026,0,8,false,false,true,false,pavement; concrete; preservation
UNF-2250,T202719287 Harrington Sidewalk and Crossing Gap Closure — I-295,"Fill sidewalk gaps and add high-visibility crossings along I-295 MP 36.8 in Harrington, with ADA curb ramps.",Kent,I-295,bike-ped,2610000,1997556,unfunded,preliminary-design,21,pedestrian; bicycle,2029,5,25,true,false,true,false,pedestrian; ada; crossing; vru
UNF-2251,T202219324 US 40 Drainage and Flood Mitigation — Claymont,Stormwater upgrades and roadway raising where US 40 MP 6.5 floods near Claymont.,New Castle,US 40,resilience,10630000,10181015,unfunded,preliminary-design,25,auto,2026,0,6,false,false,false,true,flood; drainage; resilience
UNF-2252,T202319361 I-295 Bridge Preservation — Houston Phase 2,"Deck overlay, joint replacement, and scour countermeasures on the I-295 bridge near Houston (MP 8.3).",Kent,I-295,bridge,36240000,34508268,unfunded,preliminary-design,31,auto; freight,2027,1,13,false,false,false,true,bridge; preservation; state-of-good-repair
UNF-2253,T202419398 Bethany Beach DART Stop and Access Improvements — US 13,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on US 13 in Bethany Beach.",Sussex,US 13,transit,3100000,2714297,unfunded,final-design,84,transit; pedestrian,2026,1,9,false,false,true,false,transit; equity; pedestrian; ada
UNF-2254,T202519435 US 113 Lane Departure Countermeasures — Middletown,"Rumble strips, high-friction surface treatment, and curve warning upgrades on US 113 MP 19.1 near Middletown.",New Castle,US 113,safety,7120000,6039759,unfunded,final-design,80,auto,2029,0,13,false,true,false,false,lane-departure; rural; high-friction; systemic; safety
UNF-2255,T202619472 SR 30 Drainage and Flood Mitigation — New Castle,Stormwater upgrades and roadway raising where SR 30 MP 34.5 floods near New Castle.,New Castle,SR 30,resilience,29310000,25084386,unfunded,row,56,auto,2025,1,10,false,false,false,false,flood; drainage; resilience
UNF-2256,T202719509 Felton Complete Streets — SR 48 Town Center,"Lane reallocation, bicycle facilities, and pedestrian lighting on SR 48 through Felton town center (Phase 2).",Kent,SR 48,complete-streets,10730000,8873327,partially-funded,planning,14,auto; pedestrian; bicycle,2027,2,10,true,false,false,true,complete-streets; bike-ped; equity; safety
UNF-2257,T202219546 SR 10 Pavement Rehab — Little Creek Phase 1,Mill and overlay of deteriorated SR 10 lanes through Little Creek (MP 15.4) to restore ride quality. Limited safety or equity components.,Kent,SR 10,pavement,5390000,4485582,unfunded,row,49,auto,2029,1,6,false,true,true,false,pavement; preservation; state-of-good-repair
UNF-2258,T202319583 Kenton DART Stop and Access Improvements — SR 92,"Accessible pads, shelters, lighting, and sidewalk connections to DART stops on SR 92 in Kenton.",Kent,SR 92,transit,1540000,1290029,partially-funded,final-design,77,transit; pedestrian,2026,0,8,false,false,true,false,transit; equity; pedestrian; ada
